,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Homer,59.64,-151.55,287.59,86,94,1.34,US,1596913933
162,Maxixe,-23.86,35.35,287.15,87,0,2.1,MZ,1596913933
163,Kumluca,36.37,30.29,300.41,72,0,1.06,TR,1596913933
164,Shadrinsk,56.09,63.63,291.18,89,74,4.15,RU,1596913933
165,Avarua,-21.21,-159.78,296.15,88,96,2.1,CK,1596913933
166,Tabuk,17.42,121.44,297.39,87,93,1.29,PH,1596913933
167,Raudeberg,61.99,5.14,287.15,71,0,3.6,NO,1596913934
168,Ixtapa,20.7,-105.2,305.93,70,40,5.1,MX,1596913934
169,Grenfell,-33.9,148.17,277.82,96,100,3.02,AU,1596913934
170,Vila Velha,-20.33,-40.29,298.15,65,20,4.6,BR,1596913934
171,Laas,46.62,10.7,293.15,64,20,1.0,IT,1596913934
172,Carnarvon,-24.87,113.63,295.15,64,90,12.9,AU,1596913863
173,Samarai,-10.62,150.67,299.08,87,100,3.63,PG,1596913934
174,Sur,22.57,59.53,301.84,69,100,3.79,OM,1596913934
175,Villarrica,-25.75,-56.43,301.75,35,0,1.98,PY,1596913934
176,Thompson,55.74,-97.86,296.15,49,40,6.7,CA,1596913934
177,Lakki,32.61,70.91,311.12,33,43,3.5,PK,1596913934
178,Vung Tau,10.35,107.08,299.77,83,100,4.65,VN,1596913934
179,Faanui,-16.48,-151.75,298.85,81,68,10.49,PF,1596913934
180,Brownsville,25.9,-97.5,307.15,52,20,7.2,US,1596913931
181,Saint-Philippe,-21.36,55.77,292.15,82,75,2.1,RE,1596913935
182,Marawi,8.0,124.29,296.48,92,99,2.68,PH,1596913935
183,Aswān,24.09,32.91,309.98,11,0,8.12,EG,1596913935
184,Ulaangom,49.98,92.07,287.54,57,21,0.56,MN,1596913935
185,Deputatsky,69.3,139.9,280.23,97,100,1.43,RU,1596913935
186,Andrews,32.32,-102.55,308.15,24,1,5.1,US,1596913935
187,Dongsheng,39.82,109.98,295.63,32,0,3.52,CN,1596913935
188,Mikuni,36.22,136.15,301.15,69,75,3.6,JP,1596913935
189,Balkanabat,39.51,54.37,300.09,52,0,4.19,TM,1596913935
190,College,64.86,-147.8,289.15,67,75,2.6,US,1596913892
191,Batemans Bay,-35.72,150.18,284.82,93,100,1.34,AU,1596913935
192,Auchi,7.07,6.27,295.98,84,2,2.05,NG,1596913935
193,Praia da Vitória,38.73,-27.07,297.15,64,40,1.87,PT,1596913935
194,Lagoa,39.05,-27.98,293.78,62,9,1.92,PT,1596913935
195,Fortuna,40.6,-124.16,293.71,68,0,1.34,US,1596913935
196,Sørland,67.67,12.69,286.74,90,100,7.49,NO,1596913936
197,City of San Pedro,14.35,121.02,298.71,94,100,1.0,PH,1596913936
198,Santa Rosa,14.31,121.11,298.71,94,100,1.0,PH,1596913758
199,Portland,45.52,-122.68,295.93,60,90,2.6,US,1596913490
200,Upernavik,72.79,-56.15,278.78,69,96,3.25,GL,1596913705
